City,OCC_TITLE,A_MEDIAN,TOT_EMP,Cost of Living Index,Rent Index,Local Purchasing Power Index
"Atlanta, GA",Computer and Information Systems Managers,171360.0,13500,71.7,42.8,169.6
"Atlanta, GA",Computer and Mathematical Occupations,105370.0,118670,71.7,42.8,169.6
"Atlanta, GA",Computer Systems Analysts,108570.0,8750,71.7,42.8,169.6
"Atlanta, GA",Information Security Analysts,126880.0,4940,71.7,42.8,169.6
"Atlanta, GA",Computer and Information Research Scientists,124150.0,100,71.7,42.8,169.6
"Atlanta, GA",Computer Network Support Specialists,85010.0,2730,71.7,42.8,169.6
"Atlanta, GA",Computer User Support Specialists,59510.0,17240,71.7,42.8,169.6
"Atlanta, GA",Computer Network Architects,134880.0,4730,71.7,42.8,169.6
"Atlanta, GA",Database Administrators,104790.0,2170,71.7,42.8,169.6
"Atlanta, GA",Database Architects,135280.0,2390,71.7,42.8,169.6
"Atlanta, GA",Network and Computer Systems Administrators,98240.0,6190,71.7,42.8,169.6
"Atlanta, GA",Computer Programmers,97970.0,1390,71.7,42.8,169.6
"Atlanta, GA",Software Developers,130830.0,35900,71.7,42.8,169.6
"Atlanta, GA",Software Quality Assurance Analysts and Testers,94120.0,6270,71.7,42.8,169.6
"Atlanta, GA",Web Developers,84260.0,1070,71.7,42.8,169.6
"Atlanta, GA","Computer Occupations, All Other",102770.0,12330,71.7,42.8,169.6
"Atlanta, GA",Operations Research Analysts,74880.0,3300,71.7,42.8,169.6
"Atlanta, GA",Data Scientists,104480.0,5940,71.7,42.8,169.6
"Atlanta, GA",Computer Hardware Engineers,122870.0,360,71.7,42.8,169.6
"Austin, TX",Computer and Information Systems Managers,173300.0,10650,61.7,50.1,163.7
"Austin, TX",Computer and Mathematical Occupations,108150.0,79720,61.7,50.1,163.7
"Austin, TX",Computer Systems Analysts,101550.0,8310,61.7,50.1,163.7
"Austin, TX",Information Security Analysts,121880.0,1870,61.7,50.1,163.7
"Austin, TX",Computer and Information Research Scientists,112760.0,340,61.7,50.1,163.7
"Austin, TX",Computer Network Support Specialists,61590.0,1810,61.7,50.1,163.7
"Austin, TX",Computer User Support Specialists,59740.0,8520,61.7,50.1,163.7
"Austin, TX",Computer Network Architects,132790.0,1930,61.7,50.1,163.7
"Austin, TX",Database Administrators,114050.0,1130,61.7,50.1,163.7
"Austin, TX",Database Architects,139010.0,920,61.7,50.1,163.7
"Austin, TX",Network and Computer Systems Administrators,100970.0,4880,61.7,50.1,163.7
"Austin, TX",Computer Programmers,84140.0,1160,61.7,50.1,163.7
"Austin, TX",Software Developers,133070.0,28210,61.7,50.1,163.7
"Austin, TX",Software Quality Assurance Analysts and Testers,102990.0,3110,61.7,50.1,163.7
"Austin, TX",Web Developers,84580.0,960,61.7,50.1,163.7
"Austin, TX","Computer Occupations, All Other",124150.0,10170,61.7,50.1,163.7
"Austin, TX",Operations Research Analysts,83990.0,1510,61.7,50.1,163.7
"Austin, TX",Data Scientists,122440.0,3100,61.7,50.1,163.7
"Austin, TX",Computer Hardware Engineers,150630.0,720,61.7,50.1,163.7
"Baltimore, MD",Computer and Information Systems Managers,173130.0,7380,65.8,41.5,133.7
"Baltimore, MD",Computer and Mathematical Occupations,127510.0,64060,65.8,41.5,133.7
"Baltimore, MD",Computer Systems Analysts,105920.0,6090,65.8,41.5,133.7
"Baltimore, MD",Information Security Analysts,136050.0,4370,65.8,41.5,133.7
"Baltimore, MD",Computer and Information Research Scientists,152780.0,1040,65.8,41.5,133.7
"Baltimore, MD",Computer Network Support Specialists,104130.0,4720,65.8,41.5,133.7
"Baltimore, MD",Computer User Support Specialists,63740.0,4300,65.8,41.5,133.7
"Baltimore, MD",Computer Network Architects,143260.0,2440,65.8,41.5,133.7
"Baltimore, MD",Database Administrators,119990.0,1100,65.8,41.5,133.7
"Baltimore, MD",Database Architects,132750.0,500,65.8,41.5,133.7
"Baltimore, MD",Network and Computer Systems Administrators,119150.0,4270,65.8,41.5,133.7
"Baltimore, MD",Computer Programmers,103430.0,910,65.8,41.5,133.7
